"ninja_column_0","website","ninja_column_1 href","ninja_column_2","ninja_column_4","ninja_column_5","website2","softmerge-inner href"
"Darkhive","darkhive.ai","https://www.google.com/url?q=http://darkhive.ai&sa=D&source=editors&ust=1780429193014005&usg=AOvVaw3kc47sHIr8UWp617QB4Vue","Drones, Aerospace, Artificial Intelligence, Government, Hardware, Robotics","$30,000,000","Series B","",""
"forml","forml.ai","https://www.google.com/url?q=http://forml.ai&sa=D&source=editors&ust=1780429193014096&usg=AOvVaw2uMnrCYfAiVA3JRhJjouBQ","Artificial Intelligence, Analytics, B2B Software, Cloud Computing, Data","$3,000,000","Seed","",""
"BirdieView","","","Sports","$30,000","Pre-Seed","greenviewlabs.com","https://www.google.com/url?q=http://greenviewlabs.com&sa=D&source=editors&ust=1780429193014185&usg=AOvVaw0NTuj8CGiFsGC7d1CyTPFq"
"Kindra","ourkindra.com","https://www.google.com/url?q=http://ourkindra.com&sa=D&source=editors&ust=1780429193014275&usg=AOvVaw1gZ6TSO2tCHat0xkit1bAo","Wellness, Consumer Goods, E-commerce, Nutrition and Supplements","$2,600,000","Venture - Series Unknown","",""
"Modicus Prime","","","Artificial Intelligence, B2B Software, Data, Pharmaceuticals","$4,500,000","Seed","modicusprime.com","https://www.google.com/url?q=http://modicusprime.com&sa=D&source=editors&ust=1780429193014385&usg=AOvVaw1w7BGiPOHaQiaTYcQYQtrm"
"Pacific Hybreed","","","Agriculture, Biotechnology, Marine","$1,000,000","Seed","pacifichybreed.com","https://www.google.com/url?q=http://pacifichybreed.com&sa=D&source=editors&ust=1780429193014476&usg=AOvVaw1dwltcKKEY_FdX8j3Y81BX"
"Astrada","astrada.co","https://www.google.com/url?q=http://astrada.co&sa=D&source=editors&ust=1780429193014563&usg=AOvVaw1vG3Ih7yIY8EUC7jmhVjmQ","FinTech, Finance, B2B Software, Data","$3,800,000","Seed","",""
"Anagram Therapeutics","anagramtx.com","https://www.google.com/url?q=http://anagramtx.com&sa=D&source=editors&ust=1780429193014655&usg=AOvVaw2n4Bo1TpPJSZeXIHkgKY3v","Biotechnology, Pharmaceuticals","$250,000,000","Private Equity","",""
"Fathom","","","Healthcare, Artificial Intelligence, Analytics, B2B Software, Data","","Venture - Series Unknown","fathomhealth.com","https://www.google.com/url?q=http://fathomhealth.com&sa=D&source=editors&ust=1780429193014745&usg=AOvVaw1LyssaNOODGOSiiBQOdN-E"
"Richmond Revival","","","Entertainment, Education, Hospitality, Music","","Equity Crowdfunding","richmondrevival.com","https://www.google.com/url?q=http://richmondrevival.com&sa=D&source=editors&ust=1780429193021412&usg=AOvVaw0wBc_ggRlpVIgJB3OjH2b6"
"Saltbox","saltbox.com","https://www.google.com/url?q=http://saltbox.com&sa=D&source=editors&ust=1780429193021532&usg=AOvVaw1GcIXwPOJDoH71VmKTPeb9","Logistics, E-commerce, Real Estate","","Series C","",""
"ParcelBio","parcelbio.com","https://www.google.com/url?q=http://parcelbio.com&sa=D&source=editors&ust=1780429193021619&usg=AOvVaw2JRUPMjY8z_yCdWN1CZmjI","Biotechnology, Pharmaceuticals","$13,000,000","Seed","",""
"Venus Aerospace","venusaero.com","https://www.google.com/url?q=http://venusaero.com&sa=D&source=editors&ust=1780429193021711&usg=AOvVaw11r8T3f081cgjDJCRkS0aQ","Aerospace, Hardware, Manufacturing, Mechanical Engineering, Transportation","$63,045,751","Venture - Series Unknown","",""
"Astrocade","astrocade.com","https://www.google.com/url?q=http://astrocade.com&sa=D&source=editors&ust=1780429193021801&usg=AOvVaw0_0QsC0l7gi5HXOt3iZYY9","Gaming, Artificial Intelligence, B2C Software, Social Network","$56,000,000","Series B","",""
"Mother Games","","","Gaming, Entertainment, Media, Mobile","$15,000,000","Seed","mothergames.com","https://www.google.com/url?q=http://mothergames.com&sa=D&source=editors&ust=1780429193021895&usg=AOvVaw3ewcTe7dxlZM1weAm7tm7V"
"Power Factors","","","Energy, Analytics, B2B Software, Cloud Computing, Data","","Private Equity","powerfactors.com","https://www.google.com/url?q=http://powerfactors.com&sa=D&source=editors&ust=1780429193021983&usg=AOvVaw2r2tOnOF2Wn8KhxTcVAeQ4"
"ReFiBuy","refibuy.ai","https://www.google.com/url?q=http://refibuy.ai&sa=D&source=editors&ust=1780429193022080&usg=AOvVaw0Ei9o91g6TSbHokNtUqDrx","E-commerce, Artificial Intelligence, B2B Software, Data, Retail","$15,315,000","Seed","",""
"BrandCapsule","brandcapsule.ai","https://www.google.com/url?q=http://brandcapsule.ai&sa=D&source=editors&ust=1780429193022198&usg=AOvVaw0aQ6cR7dTvJ9jDJWA1Qt5H","Artificial Intelligence, Analytics, B2B Software, Data, Marketing","$56,250","Pre-Seed","",""
"Celadyne Technologies","celadyne.com","https://www.google.com/url?q=http://celadyne.com&sa=D&source=editors&ust=1780429193022293&usg=AOvVaw3Xh13Vzjvivjpbfo2uDVQr","Energy, Hardware, Manufacturing, Materials","$250,000","Venture - Series Unknown","",""
"Sierra","sierra.ai","https://www.google.com/url?q=http://sierra.ai&sa=D&source=editors&ust=1780429193022406&usg=AOvVaw0lbjNOdivRNk-q0WA19wnL","Artificial Intelligence, B2B Software, Cloud Computing, Data","$950,000,000","Series E","",""
"Pumpkinseed Technologies","","","Biotechnology, Artificial Intelligence, Data, Hardware, Pharmaceuticals","$20,000,000","Series A","pumpkinseed.bio",""
"Seedli Capital","","","Investing, Finance, Artificial Intelligence, Blockchain, FinTech","$20,000,000","Seed","seedlicapital.com","https://www.google.com/url?q=http://seedlicapital.com&sa=D&source=editors&ust=1780429193022694&usg=AOvVaw1-VfnvUWUzB0rvOoPJHZP2"
"Moritz","moritzlegal.com","https://www.google.com/url?q=http://moritzlegal.com&sa=D&source=editors&ust=1780429193022835&usg=AOvVaw3cR0HTj-f3OrARbwc4yYpb","Legal, Artificial Intelligence, B2B Software","$9,000,000","Pre-Seed","",""
"Inflammasome Therapeutics","inflam.com","https://www.google.com/url?q=http://inflam.com&sa=D&source=editors&ust=1780429193022938&usg=AOvVaw05YgIgkDJmMo6tKeP0lD2a","Biotechnology, Pharmaceuticals","$13,155,645","Venture - Series Unknown","",""
"Astranis","astranis.com","https://www.google.com/url?q=http://astranis.com&sa=D&source=editors&ust=1780429193023030&usg=AOvVaw1I7hzEVV9eTiYRNQ5LbHur","Aerospace, Electronics, Hardware, Manufacturing, Mechanical Engineering, Telecommunications","$300,000,000","Series E","",""
"Travv","travv.com","https://www.google.com/url?q=http://travv.com&sa=D&source=editors&ust=1780429193023121&usg=AOvVaw2ihkdoHFhQl2Eh7CmmVdVT","Healthcare, Artificial Intelligence, B2B Software, Pets","$1,600,000","Seed","",""
"Petite Riviere Farming Company","","","Agriculture, Food and Beverage","$73,475","Venture - Series Unknown","petiterivierefarm.ca","https://www.google.com/url?q=http://petiterivierefarm.ca&sa=D&source=editors&ust=1780429193023215&usg=AOvVaw3QGsOnCQEWNp-BBwat3UVX"
"Atlas Asphalt","atlasasphalt.com","https://www.google.com/url?q=http://atlasasphalt.com&sa=D&source=editors&ust=1780429193023305&usg=AOvVaw1snT3pcBuU5KusvDVOdeFs","Construction, Home Services, Materials","","Private Equity","",""
"Power Home Remodeling","powerhrg.com","https://www.google.com/url?q=http://powerhrg.com&sa=D&source=editors&ust=1780429193023421&usg=AOvVaw3rSOyyl4xpeAMRm-m0Tvah","Home Services, Construction, Energy","","Private Equity","",""
