site,emails
https://tabbouli.eu/vara-restauranger/soder/?utm_source=google,"city@tabbouli.eu, djurgarden@tabbouli.eu, kungsholmen@tabbouli.eu, soder@tabbouli.eu, soder-skanegatan@tabbouli.eu, bookings@tabbouli.eu"
https://capricci.se/,
http://www.falafelbaren.se/,
http://cong.se/,
https://aleksfilip.se/?utm_source=google,info@aleksfilip.se
http://www.thehairypig.com/,
https://xn--thebridgesdermalm-8zb.se/,
https://www.timmermans1857.se/?utm_source=google,
https://www.vietkitchen.se/,
https://www.reggevhummus.se/?utm_source=google,reggevhummus@gmail.com
http://bistrobananas.se/,
http://www.urbandeli.se/nytorget,"butiknytorget@urbandeli.se, restaurangnytorget@urbandeli.se"
http://www.celesterestaurant.se/?utm_source=google,info@celesterestaurant.se
http://frankysburger.se/,"soder@frankysburger.se, info@frankysburger.se"
https://invece.se/,reservation@invece.se
http://kalfochhansen.se/,"catering@kalfochhansen.se, fabian@kalf-hansen.com, elise@kalfochhansen.se, bolindersplan@kalfochhansen.se, rune@kalf-hansen.com, info@kalfochhansen.se, mariatorget@kalfochhansen.se"
https://www.mazraa.se/,info@mazraa.se
http://www.paganini.nu/,reservation@paganini.nu
https://www.meetballsandpancakes.com/,info@evasbakery.se
http://www.mamawolf.nu/,
http://www.ringkatarina.se/,hej@ringkatarina.se
https://www.laperla-ingrosso.com/s-dermalm?utm_source=google,"canbarbara@laperla-ingrosso.com, sodermalm@laperla-ingrosso.com"
http://indio.se/kitchen/,kitchen@indio.se
https://koketvidbordet.se/,info@koketvidbordet.se
http://theholycow.se/,
http://www.gazzasthlm.se/,
http://bistrobohemesoder.se/,info@bistrobohemesoder.se
http://www.cykelcafe.se/,info@cykelcafe.se
https://www.elies.se/?utm_source=google,
http://www.restaurangnostrano.com/,info@nostrano.se
http://barrels.se/,"info@tritonia.se, info@stigbergetsfot.se, info@barrels.se"
http://laneta.se/,
http://www.barobao.com/,
http://www.racamaca.se/,restaurangen@racamaca.se
https://www.lapiccolanonna.se/,
https://legumes.se/,
http://www.daluigi.se/,Da.luigi@hotmail.com
https://heatrestauranger.se/heat-sodermalm/,"sundsvall@heatrestauranger.se, Framrebolanderna@heatrestauranger.se, sodertalje@heatrestauranger.se, sorentorp@heatrestauranger.se, stamgast@heatrestauranger.se, hyllie@heatrestauranger.se, bolanderna@heatrestauranger.se, lunda@heatrestauranger.se, vasby@heatrestauranger.se, eskilstuna@heatrestauranger.se, akademiska@heatrestauranger.se, rattscentrum@heatrestauranger.se, kista@heatrestauranger.se, kronoberg@heatrestauranger.se, fyrislund@heatrestauranger.se, express.sandviken@heatrestauranger.se, malmo@heatrestauranger.se, hemsta@heatrestauranger.se, marsta@heatrestauranger.se, sodermalm@heatrestauranger.se, akalla@heatrestauranger.se, asplunden@heatrestauranger.se"
https://www.brisketandfriends.se/?utm_source=google,"linus@brisketandfriends.se, linkoping@brisketandfriends.se, bookinggbg@brisketandfriends.se, natasha@brisketandfriends.se, tor@brisketandfriends.se, ludvig@brisketandfriends.se, joakim@brisketandfriends.se, peter.larsen@brisketandfriends.se, wilhelm@brisketandfriends.se, niklas@brisketandfriends.se, kristoffer@brisketandfriends.se"
https://eatnam.se/?utm_source=google,"info@kassacentralen.se., event@eatnam.se, info@eatnam.se, datainspektionen@datainspektionen.se"
https://www.kvartersmenyguiden.se/stockholm/sodermalm/parma-pizzeria,info@guidetostockholm.se
https://hornsgatankvarterskrog.com/?utm_source=google,hornsgatan@bockholmengruppen.com
https://exitloungebar.se/?utm_source=google,info@exitloungebar.se
https://www.misterplankstek.se/,"misterplankstek@gmail.com, madeinswedenkok@gmail.com"
https://www.hollybush.se/?utm_source=google,hollybushsodermalm@gmail.com
https://bit.ly/46e40Tp,sodermalm@restaurant-nor.com
http://madamsthlm.se/,
https://www.nakedfish.se/?utm_source=google,
http://www.bistrosud.com/,
https://www.birdsthlm.com/bird-soder,info@birdsthlm.se
https://milosrestaurang.se/,
http://www.omnipolloshatt.com/,
https://nofohotel.se/wine-bar/,
https://mikkeller.com/locations/mikkeller-soedermalm,"cheers@runtobeer.ca, hophideout@gmail.com, mrcadelaide@hotmail.com, rasmusmontanus@gmail.com, anders@mikkeller.se, info@mikkeller.dk, press@mikkeller.dk, mrc@mikkeller.dk"
https://theborder.se/,
https://boogotgatan.gastrogate.com/?utm_source=google,info@booburgers.se
